,company_name,job_title,job_description,required_skills,job_meta
0,Fynd (Shopsense Retail Technologies Ltd.),Computer Vision and Machine Learning Researcher,"We want new ambitious research members to join our Machine Learning Research group. We are looking for people with a proven track record in computer vision research. In this role, we create new models, algorithms and approaches to solve challenging machine learning problems. Some of our problems areas include Image Restoration, Image Enhancement, Generative Models and 3D computer vision. You will work on various state-of-art new techniques to improve and optimize neural networks and also use computer vision approaches to solve various problems. You will be required to have in-depth knowledge of image processing and convolutional neural networks. You will tackle our challenging problems also have the freedom to try out your ideas and pursue research topics of your interest.Please find our research page : https://www.fynd.com/research/vision-labWhat will you do at Fynd?You will participate in cutting edge research in machine learning and computer visionLearn and implement state of the art best practices to create accurate and lightweight modelsYou will have the freedom to write research papers and publish yourself in top conferences.You will apply your knowledge to analyse problems, devise solutions and construct valid metrics with best practices.Come up with practical and deployable solutions. Ensure successful technology transfers to Fynd productsSome specific RequirementsA BS, MS, PhD or equivalent experience in a quantitative field (Computer Science, Applied Mathematics or related technical field).Experience in one or more of the following areas - Image Restoration, Image Enhancement, Unsupervised Learning, Compression, Generative Models, 3D computer vision, Object detection and tracking or related computer vision topicsMultiple publications in top conferencesStrong background and understanding of mathematical concepts relating to probabilistic models, linear algebra and probabilityKnowledge of computer vision/image processing techniques and awareness for existing and trending algorithms and research of Computer Vision domain.Programming experience in one or more of the following: C, C++, Python, and/or functional programming languages and deep learning frameworks like - - Tensorflow/Keras/PyTorchWhat's in it for you:An attractive remuneration packageOpportunity to collaborate with some of the brightest and best minds in IndiaWe pride ourselves in helping you realise your potential and give you the opportunity to be innovative","['programming', 'keras', 'python', 'computer vision', 'object detection', 'unsupervised learning', 'neural networks', 'convolutional neural networks', 'deep learning', 'mathematics', 'linear algebra', 'machine learning', 'tensorflow']","Mumbai, Maharashtra, India ·   1 month ago1 month ago ·   Over 100 people clicked Apply"
1,Fynd (Shopsense Retail Technologies Ltd.),Computer Vision and Machine Learning Researcher,"We want new ambitious research members to join our Machine Learning Research group. We are looking for people with a proven track record in computer vision research. In this role, we create new models, algorithms and approaches to solve challenging machine learning problems. Some of our problems areas include Image Restoration, Image Enhancement, Generative Models and 3D computer vision. You will work on various state-of-art new techniques to improve and optimize neural networks and also use computer vision approaches to solve various problems. You will be required to have in-depth knowledge of image processing and convolutional neural networks. You will tackle our challenging problems also have the freedom to try out your ideas and pursue research topics of your interest.Please find our research page : https://www.fynd.com/research/vision-labWhat will you do at Fynd?You will participate in cutting edge research in machine learning and computer visionLearn and implement state of the art best practices to create accurate and lightweight modelsYou will have the freedom to write research papers and publish yourself in top conferences.You will apply your knowledge to analyse problems, devise solutions and construct valid metrics with best practices.Come up with practical and deployable solutions. Ensure successful technology transfers to Fynd productsSome specific RequirementsA BS, MS, PhD or equivalent experience in a quantitative field (Computer Science, Applied Mathematics or related technical field).Experience in one or more of the following areas - Image Restoration, Image Enhancement, Unsupervised Learning, Compression, Generative Models, 3D computer vision, Object detection and tracking or related computer vision topicsMultiple publications in top conferencesStrong background and understanding of mathematical concepts relating to probabilistic models, linear algebra and probabilityKnowledge of computer vision/image processing techniques and awareness for existing and trending algorithms and research of Computer Vision domain.Programming experience in one or more of the following: C, C++, Python, and/or functional programming languages and deep learning frameworks like - - Tensorflow/Keras/PyTorchWhat's in it for you:An attractive remuneration packageOpportunity to collaborate with some of the brightest and best minds in IndiaWe pride ourselves in helping you realise your potential and give you the opportunity to be innovative","['sql', 'spark', 'computer vision', 'data augmentation', 'feature engineering', 'aws', 'git', 'machine learning', 'software development', 'tensorflow', 'keras', 'apis', 'python', 'calculus', 'speech recognition', 'linear algebra', 'azure', 'pytorch', 'hadoop', 'nlp', 'probability', 'deep learning', 'mlflow']","Bengaluru, Karnataka, India ·   2 weeks ago2 weeks ago ·   Over 100 applicants"
2,Healthify,Machine Learning Engineer,"What will you do?Implement technology solutions using Large Language Models (LLMs) like GPTFine tune LLMs with proprietary dataUse LLMs in conjunction with other domain specific models like Vision, NLP, Speech recognition, Image generationSetup integrations with hosted LLMs using various cloud providers (AWS+HuggingFace, Azure+OpenAI, Google+Bard)Setup and integrate hosted LLM models. Enhance the hosted LLM models with proprietary data.Write APIs using Python/Go to enhance and Integrate with existing API infrastructure.Design Prompts that provide appropriate responses. Use various prompt engineering methods (introspection, chain-of-thought, instruction prompting).Work with data teams to collect and organize the data needed for the task at hand.Ensure that best practices are followed in solving AI problems including thorough problem analysis, prior research understanding, persistent experimentation and documentation, rapid prototyping and extensive testing.Help in filing for patents and publishing research papers at AI conferences.Extensively document learnings from experiments and share with ML engineering teamUse Copilot/CodeWhisperer in developing code and create “cookbook” for good code generation.What you need to haveMust Have:Hands-on industry experience of 1 to 2 years working on machine learning and deep learning or related fields.Sound understanding of Deep Learning in at least two AI problem domains, preferably, Computer Vision, NLP/NLG using LLM, Time Series Forecasting. Having a strong mathematical background in linear algebra, probability, and calculus.Familiar with machine learning frameworks such as PyTorch or TensorFlow, Keras.Proficient in Python based programmingUnderstanding of modeling a problem into a Deep Learning framework. Exposure in building, measuring and iterating on neural network architectures that effectively solved the problemExperience working in a product-based startup environmentUnderstanding of pipelines to monitor, extract, index, build and tune ML and NLP modelsExperience working in collaborative software development environments including the use of git, peer code review and independent authorship of well tested, maintainable and documented code. Nice to haveData ManagementDefining validation strategiesDefining the pre-processing or feature engineering to be done on a given datasetDefining data augmentation pipelinesExploring and visualizing data to gain an understanding of it, then identifying differences in data distribution that could affect performance when deploying the model in the real worldWorking proficiency with SQL and relational databases, data warehouse.Experience with GPU/CUDA for computational efficiency.Experience with ML Ops frameworks like Sagemaker/AWS, MLFlow or similarFamiliar with distributed computational frameworks (YARN, Spark, Hadoop)",[],"Hyderabad, Telangana, India ·   6 days ago6 days ago ·   Over 100 people clicked Apply"
3,Qualcomm,Machine Learning Engineer," Bachelor's degree in Engineering, Information Systems, Computer Science, or related field.","['apis', 'spark', 'python', 'computer vision', 'javascript', 'data engineering', 'communication skills', 'mathematics', 'machine learning', 'azure']","Bengaluru, Karnataka, India ·   1 day ago1 day ago ·   Over 100 applicants"
4,Recro,AI Engineer,"Job Title: AI / Machine Learning EngineerLocation: Bangalore/ChennaiExperience: 4 to 7 yearsKey Responsibilities:Design and develop advanced AI/ML models.Collaborate with AI Technical Manager, data engineers, and GCC Petro-technical professionals.Implement AI solutions to improve decision-making and automation.Identify data and technology to solve business challenges.Partner with Data Scientists and IT services to implement complex algorithms.Fine-tune algorithms for optimal performance.Deliver innovative solutions from design to deployment.Work with cross-functional teams to transform prototypes into production solutions.Configure infrastructure for scalable and resilient ML workloads.Qualifications:4 to 7 years of experience in Object-Oriented Design and Python development.Experience with machine learning frameworks and libraries.Proficiency in JavaScript frameworks and Microsoft Azure Machine Learning.Strong background in mathematics and algorithms.Experience with large-scale ML/DL jobs and cloud infrastructure.Skilled in designing custom APIs and MLOps frameworks.Experience with cognitive services, computer vision, and unstructured data ML models.Hands-on experience with Azure Machine Learning SDK.Knowledge of data engineering tools like DataBricks, Spark, and Azure Data Factory.Proficient in software engineering practices (source control, CI/CD, etc.).Strong communication skills.","['programming', 'software development']","Bengaluru, Karnataka, India ·   1 hour ago1 hour ago ·   81 people clicked Apply"
5,JPMorganChase,Software Engineer I - AI - ML - Developer,"Executes basic software solutions, design, development, and technical troubleshootingWrites secure and high-quality code using the syntax of at least one programming language with peer guidanceInterprets architecture and design representations as well as nonfunctional requirements to develop secure, stable software against a defined architectureActively applies automation to reduce manual toil in the Software Development Life CycleAddresses basic code quality issuesGathers, analyzes, and synthesizes basic data sets in service of technical troubleshooting and generating insights to drive continuous improvementsBreaks down routine technical tasks to troubleshoot and solve issuesAdds to team culture of diversity, equity, inclusion, and respectFormal training or certification on software engineering concepts and 2+ years applied experienceBaseline knowledge of software, applications and technical processes within a given technical discipline (e.g., cloud, artificial intelligence, Android, etc.)Ability to work in large, collaborative teams to achieve organizational goals, with a passion to build an inclusive and innovative cultureDemonstrable ability to code in one or more languagesUnderstanding of software skills such as business analysis, development, maintenance, and software improvementProficiency in developmental toolsetsBasic knowledge of industry-wide technology trends and best practices Exposure to cloud technologies","['sql', 'pytorch', 'presentation skills', 'python', 'problem-solving', 'machine learning', 'tensorflow']","Bengaluru, Karnataka, India ·   1 week ago1 week ago ·   Over 100 people clicked Apply"
6,Great Learning,Data Scientist,"RoleOwn the quality of end to end learning experience for our global flagship programs in the domain of analytics, data science and artificial intelligenceOwn the hands on development of all the different components of the learning experience, including but not limited to video content, hands-on/ labs material, projects and various other learning activities/interventions. This will include engaging with SMEs/faculties/industry experts.Be a mentor / training assistant to hundreds of global professional by providing technical support, guidance and feedback in a timely mannerDevelop and leverage analytics powered solutions to continuously monitor and identify opportunities to improve quality of the learning experience in terms of appropriateness, accuracy, richness and outcomes. This will involve solving a variety of business problems using data.Be an active contributor to organization building by identifying and executing on various growth as well as capability development opportunities, in terms of new products or processes.Requirements1+ years of working experience in Data Science, Analytics or Artificial IntelligenceHave solved an end-to-end business problem or been part of a problem-solving journeyStrongly mandatory - 1+ year experience in using SQL to query data and Python to manipulate data and draw insights from large data setsExperience in creating and using machine learning algorithms and statistical modeling methodsStrong written, verbal, and presentation skills with the ability to work through complex concepts in easy-to-understand languageExperience with open-source DL toolkits such as TensorFlow, PyTorch, Hugging Face","['sql', 'spark', 'computer vision', 'feature engineering', 'scikit-learn', 'aws', 'git', 'numpy', 'matplotlib', 'mathematics', 'machine learning', 'software development', 'tensorflow', 'keras', 'statistics', 'python', 'cloud computing', 'curiosity', 'problem-solving', 'version control', 'linear algebra', 'azure', 'gans', 'pytorch', 'agile methodologies', 'object detection', 'hadoop', 'pandas', 'optimization', 'big data', 'deep learning', 'onnx', 'seaborn']","Bengaluru, Karnataka, India ·   2 weeks ago2 weeks ago ·   Over 100 applicants"
7,Bellatrix Aerospace,Machine Learning Engineer,"Company & Culture: Bellatrix Aerospace is a space transportation company developing new age technologies that shape the future of our industry. We specialize in the development and production of propulsion systems and in-orbit transportation solutions. Our work has won two National Awards and backing of the government and many marque investors. More details of the company are available on – https://in.linkedin.com/company/bellatrix-aerospace.At Bellatrix, we strive to create an environment that rewards creativity, performance and perseverance. At the same time, we also understand that failures are steppingstones to success on a journey to create something that never existing. In other words, our culture is fueled by intellectual curiosity, and our team takes pride in creating technologies that impact India and the world, growing together and achieving their goals each day.Full Time and onsite at workLocation: BangaloreJob Description:Drive innovation in ML optimization, integrating computer vision and multimodal insights for efficient on-device performance. Transform research concepts into real-world advancements with clear industrial applications.Mandatory Skills:Mathematics: Solid foundation in statistics (distributions, hypothesis testing), linear algebra, and calculusProgramming: Extensive experience with Python and a strong grasp of scientific computing libraries (scikit-learn, NumPy, Pandas).Frameworks: Expertise in deep learning frameworks like TensorFlow, Pytorch and ONNX. Strong skills in data querying (SQL), exploration, cleaning, preprocessing, and visualization (e.g., using tools like Matplotlib, Seaborn).Software Engineering Principles: Familiarity with version control (Git) and software development practices.Deployment on Edge Devices: Familiarity with concepts like quantization, pruning and knowledge distillation.Good-to-Have Skills:Cloud Computing: Experience with cloud platforms like AWS, Google Cloud, or Azure.Big Data Frameworks: Experience with distributed computing frameworks (Spark, Hadoop, etc.).MLOps: Knowledge of ML model deployment, monitoring, and continuous improvement (CI/CD pipelines).Key Duties and Responsibilities:Design and develop state-of-the-art machine learning models for computer vision applications. Drive innovation in synthetic image generation for increasing sparse dataset.Dive into research and experimentation with cutting-edge deep learning and generative models (GANs, VAEs, etc.) to produce excellent computer vision models.Harness computer vision techniques (object detection, segmentation, tracking) to build powerful models for diverse use cases in space applications.Efficiently preprocess datasets, employ augmentation, and implement smart feature engineering for large-scale visual data.Relentlessly optimize models for performance and scalability using compression, pruning, quantization, and other techniques.Evaluate and benchmark ML frameworks and libraries for generative AI and computer vision projects.Analyze developed computer vision models, applying compression techniques (like quantization, pruning, knowledge distillation) to dramatically reduce their size and computational requirements without sacrificing accuracy.Evaluate edge hardware platforms (e.g., GPUs, TPUs, dedicated accelerators) and select the ideal options for specific use cases and performance targets.Develop robust deployment pipelines ensuring smooth integration of optimized models onto edge devices. Design processes for over-the-air updates and continuous model maintenance.Proficient in model conversion tools and frameworks (e.g., TensorFlow Lite, Open VINO, ONNX Runtime) effectively translating models across platforms.Benchmark, profile, and debug model performance on target edge devices. Find potential bottlenecks and identify further optimization strategies.Design and run test scenarios that mimic real-world conditions where edge devices will operate, considering issues like environmental factors, power consumption, and connectivity.Document the development, ensuring reproducibility and knowledge-sharing within the team.Embrace code reviews and best practices for software development excellence.Education & ExperienceBachelor's, Master's, or PhD in Electronics Engineering or Computer Science, Engineering, or a related field with a strong focus on machine learning / artificial intelligence or computer vision.Proven track record of building and shipping generative AI and computer vision solutions.Master of Python and ML libraries like TensorFlow, PyTorch, Keras, and OpenCV.Firm grasp of deep learning architectures and generative models.Expert in computer vision techniques (object detection, segmentation, tracking, image synthesis).Adept at handling large, diverse visual datasets, employing smart preprocessing and feature engineering.Analytical mindset with a knack for innovative problem-solving.Exceptional communicator and collaborator; comfortable working across teams.Solid software engineering understanding (version control, agile methodologies).Familiar with various edge device architectures (ARM, microcontrollers, FPGAs).Passion for research and a desire to contribute to the broader ML community.","['programming', 'python', 'computer vision', 'c++', 'communication skills', 'problem-solving', 'deep learning', 'software development', 'cv']","Bengaluru, Karnataka, India ·   Reposted 5 days ago 5 days ago ·   Over 100 applicants"
8,Texas Instruments,Image Signal Processing,"About the JobThe Embedded Processors team designs and works on state-of-the-art processors and microcontrollers to make the world smarter, safer, and greener. These products are the heart of autonomous vehicles, intelligent robots, electric vehicles, and energy efficient homes and push the boundaries of technology integrating vision analytics, multimedia, networking, security, deep learning accelerators and ARM/RISC-V compute cores. The group is focused on solving some of the most challenging technical problems for automotive and industrial customers requiring coordinated and integrated hardware-software solutions. In the group we drive cutting-edge innovations in both. For this role the team is looking for passionate, creative and motivated embedded software development engineer in Image Signal Processing (ISP) and Computer Vision (CV) domains. A suitable candidate would be the one with experience and outstanding knowledge in development of embedded SW development, embedded systems engineering, computer architecture and ISP and CV algorithms. The position requires candidates to have strong programming skills with in-depth knowledge of C, C++, opensource computer vision and multimedia frameworks and Python programming. Knowledge and experience of working with functional safety standards is desirable.Job Responsibilities may include, but are not limited to:Develop embedded software for TI’s computer vision, imaging and analytics SoCsDevelop and deploy drivers for peripherals, application demos and examplesDevelop training collaterals and software documentationMinimum RequirementsMaster’s degree in Computer Science, Electrical or Electronics Engineering with 1+ years of relevant experienceBachelor’s degree in Computer Science, Electrical or Electronics Engineering with 1-2 years of relevant experiencePreferred Qualifications:Strong knowledge of ISP/CV/DL/multimedia systems, Embedded Systems Engineering, Computer Architecture and related areasStrong programming skills with in-depth knowledge of C, C++and Python Experience of working with camera systems Knowledge of Functional safety, ISO26262 Good analytical and problem-solving skills Good communication skills and ability to work in global teams with diverse skillsets",[],"Bengaluru, Karnataka, India ·   1 month ago1 month ago ·   Over 100 applicants"
9,RentoMojo,Data Science & ML Engineer,,"['programming', 'pytorch', 'python', 'computer vision', 'collaboration', 'object detection', 'classification', 'problem-solving', 'optimization', 'deep learning', 'mathematics', 'tensorflow']","Bangalore Urban, Karnataka, India ·   3 weeks ago3 weeks ago ·   Over 100 applicants"
